id,Latitude,Longitude,h,x,y,x_normed,y_normed,h_normed,Location_RURAL,Location_SUBURBAN,Location_UNKNOWN,Location_URBAN AND CENTER CITY
4_12_1001,34.149722,-114.288611,128.0,-1672148.9526282994,-367124.94652784296,0.32540070190123044,-0.4007894864375169,-0.5354258671239395,0,0,0,1
4_12_8000,34.2439,-113.5586,376.0,-1604251.3949111963,-370060.4040495582,0.3879662509404452,-0.4034944218976792,-0.14999757563856678,1,0,0,0
4_15_1,35.187222,-114.064167,1013.0,-1629230.1823911013,-258690.0658382182,0.3649490525969405,-0.30087001844111216,0.8399936407976526,0,0,0,1
4_15_6,35.186111,-114.564444,206.0,-1673754.9364739375,-249718.6800805877,0.32392083628560536,-0.2926031573868838,-0.41420245286644325,1,0,0,0
4_15_7,35.211389,-114.566667,192.0,-1673385.389875284,-246940.4488078424,0.3242613623165514,-0.2900431011671673,-0.4359605015793272,1,0,0,0
4_15_8,35.085,-114.559444,168.0,-1675578.372752997,-260760.65972641256,0.32224059481929634,-0.3027780081804764,-0.4732600136585568,1,0,0,0
4_15_13,34.48185,-114.33659,148.0,-1669107.838587026,-330221.5657528204,0.3282029966535083,-0.3667841354761097,-0.5043429403912482,0,0,0,1
4_15_14,35.371111,-114.153056,1310.0,-1633105.5262029544,-237162.7028089649,0.36137804030347126,-0.2810332035014129,1.301575102778119,1,0,0,0
4_15_15,34.86,-114.598333,144.0,-1684098.3179908977,-284411.35656869743,0.31438972257122105,-0.3245714111076165,-0.5105595257377864,1,0,0,0
4_15_1000,35.540017,-113.410782,50.0,-1563609.0903065216,-231900.29828745924,0.4254169073013876,-0.2761840566510025,-0.6566492813814357,1,0,0,0
4_15_1001,35.2,-114.566667,213.0,-1673640.9283232603,-248173.72371504368,0.3240258913535915,-0.29117952675123365,-0.40332342851000125,0,0,1,0
4_15_1003,35.153888,-114.566111,156.0,-1674626.136290453,-253177.41850760652,0.3231180519635204,-0.2957902803990412,-0.4919097696981716,0,0,0,1
4_15_1004,35.103611,-114.602222,183.0,-1678967.995611219,-257955.62238578286,0.31911715971660626,-0.3001932509787047,-0.44994781860903826,0,0,0,1
4_15_1011,35.588726,-113.489025,1464.0,-1569519.153745496,-225265.68368318048,0.419970962316788,-0.2700704596478553,1.5409136386198425,1,0,0,0
4_15_1111,34.55199,-113.372362,305.0,-1580965.1516755663,-339851.2301241623,0.4094238208749658,-0.3756575803939172,-0.2603419655396211,1,0,0,0
4_15_9000,36.019302,-114.069205,902.0,-1611508.9756016994,-168428.23819242083,0.3812786095014166,-0.21769647002760625,0.6674833974312157,1,0,0,0
4_25_15,35.513486,-113.322198,1554.0,-1556306.190690864,-236300.6392164945,0.4321463087613872,-0.2802388379338861,1.6807868089169535,1,0,0,0
4_27_2,32.723333,-114.622065,42.0,-1734382.6550546407,-515715.65748072206,0.2680542244731276,-0.5377113393799883,-0.6690824520745123,0,0,0,1
4_27_3,32.700509,-114.622669,43.0,-1734953.4740016803,-518183.6320568336,0.2675282320512452,-0.5399855034230102,-0.6675283057378777,0,0,0,1
4_27_4,32.677001,-114.648905,30.0,-1737894.885145725,-520236.14746243553,0.26481781050789616,-0.5418768343866066,-0.687732208114127,0,0,0,1
4_27_5,32.685171,-114.492374,61.0,-1723327.3016736396,-522329.42615396925,0.27824139875981985,-0.5438057274872035,-0.6395536716784556,1,0,0,0
4_27_6,32.677855,-114.475861,60.0,-1721973.6225482407,-523437.52534702217,0.2794887731949414,-0.5448268074307874,-0.6411078180150901,1,0,0,0
4_27_8011,32.690278,-114.61444,51.0,-1734428.5030118076,-519452.2091305881,0.26801197696513296,-0.5411544588874867,-0.6550951350448012,0,0,0,1
6_1_1,37.87687,-122.266913,15.0,-2266951.5810672166,205926.49765976498,-0.22269195812201603,0.12726011414894672,-0.7110444031636456,0,0,0,1
6_1_2,37.533243,-121.958813,22.0,-2251784.529832663,161879.79553204667,-0.2087159784299407,0.08667240827785218,-0.7001653788072036,0,0,0,1
6_1_3,37.6849,-121.7659,150.0,-2230818.324032229,173194.1108584405,-0.18939625293055204,0.09709820817698932,-0.501234647717979,0,0,0,1
6_1_4,37.800484,-122.266358,38.0,-2269309.0032686777,197828.48579303615,-0.22486425149030162,0.1197980407606967,-0.6752990374210506,0,0,0,1
6_1_5,37.7986,-122.2684,10.0,-2269539.78000742,197680.0907115494,-0.2250769052859662,0.11966129917439955,-0.7188151348468185,0,0,0,1
6_1_6,37.710229,-122.116899,43.0,-2259579.685100018,184549.71853189517,-0.21589897860765023,0.10756205772698055,-0.6675283057378777,0,1,0,0
6_1_7,37.687526,-121.784217,137.0,-2232280.2711859248,173922.28227026833,-0.19074339308422886,0.0977691961433826,-0.5214385500942283,0,0,0,1
6_1_8,37.817118,-122.280454,14.0,-2269968.936521752,199940.94047366624,-0.225472360054086,0.12174460395616181,-0.7125985495002801,0,0,0,1
6_1_9,37.743065,-122.169935,11.0,-2263011.0947353686,189346.07403057124,-0.2190609189635709,0.11198175447678477,-0.7172609885101838,0,0,0,1
6_1_10,37.760229,-122.193578,10.0,-2264459.9508432895,191752.0929803426,-0.2203959961138946,0.11419882828109454,-0.7188151348468185,0,1,0,0
6_1_11,37.814781,-122.282347,0.0,-2270201.452301937,199740.90773521876,-0.225686616323924,0.1215602798283496,-0.7343565982131641,0,0,0,1
6_1_12,37.793624,-122.263376,3.9,-2269274.456353001,197027.9949023292,-0.22483241755076666,0.11906041257844832,-0.7282954275002893,0,0,0,1
