Date Local,"(7, 2, 1)","(11, 1002, 1)","(15, 2003, 1)","(19, 7, 1)","(19, 11, 1)","(19, 2008, 1)","(19, 2009, 1)","(19, 2016, 1)","(19, 4001, 1)","(19, 5001, 1)","(23, 2002, 1)","(25, 5, 1)","(27, 2, 1)","(27, 21, 1)","(27, 23, 1)","(27, 1018, 1)","(27, 1023, 1)","(27, 1028, 1)","(27, 1033, 1)","(29, 8, 1)","(29, 14, 1)","(29, 18, 1)","(29, 2009, 1)","(29, 2012, 1)","(29, 2019, 1)","(29, 6001, 1)","(31, 4, 1)","(31, 1004, 1)","(37, 2, 1)","(37, 113, 1)","(37, 1002, 1)","(37, 1103, 1)","(37, 1602, 1)","(37, 4002, 1)","(37, 4004, 1)","(37, 4009, 1)","(37, 5005, 1)","(37, 6012, 1)","(37, 9033, 1)","(39, 4, 1)","(39, 2010, 1)","(51, 5, 2)","(59, 7, 1)","(59, 2022, 1)","(61, 6, 1)","(65, 12, 1)","(65, 2002, 1)","(65, 5001, 1)","(65, 6001, 1)","(65, 8001, 1)","(65, 8005, 1)","(67, 10, 1)","(67, 11, 1)","(71, 1, 1)","(71, 12, 1)","(71, 13, 1)","(71, 26, 1)","(71, 27, 1)","(71, 306, 1)","(71, 1004, 1)","(71, 1234, 1)","(71, 2002, 1)","(71, 4001, 1)","(73, 6, 1)","(73, 1016, 1)","(73, 1022, 1)","(77, 2010, 1)","(77, 3005, 1)","(79, 2006, 1)","(83, 11, 1)","(83, 1008, 1)","(83, 2011, 1)","(99, 5, 1)","(99, 6, 1)","(101, 3, 1)","(107, 2002, 1)","(107, 2010, 1)","(107, 3000, 1)","(111, 8, 1)"
2012-01-11,1008.95,1013.941667,1018.782609,1009.845833,,1006.875,1013.620833,,1006.741667,1005.3875,998.541667,1013.329167,,892.708333,,894.125,878.833333,883.791667,,986.4,1002.904167,,,,,1005.954167,,1010.208333,993.958333,,996.625,1003.291667,1008.833333,1009.75,1016.5,,1009.416667,969.375,935.304167,1009.616667,1008.508333,,1011.333333,995.208333,1011.9125,939.916667,1018.083333,991.208333,962.041667,986.75,985.375,1018.320833,1020.583333,933.104167,,,,,913.7875,968.666667,959.458333,979.75,906.091667,998.35,,,1018.395833,1011.916667,1009.891667,1012.5,1007.683333,1012.570833,1013.608333,1014.841667,1012.895833,1007.129167,1003.75,1004.5625,986.25
2012-01-12,1009.441667,1014.45,1018.458333,1009.779167,,1006.958333,1013.783333,,1006.566667,1005.45,998.333333,1014.683333,,893.541667,,894.75,879.541667,884.708333,,986.395833,1002.508333,,,,,1005.895833,,1010.208333,995.583333,,997.375,1003.625,1009.136364,1010.041667,1016.521739,,1009.458333,970.333333,936.283333,1009.725,1008.675,,1011.458333,995.583333,1012.245833,940.666667,1019.333333,992.416667,962.875,987.291667,986.583333,1018.779167,1020.958333,934.125,,,,,914.570833,969.541667,960.65,980.375,906.954167,998.229167,,,1018.633333,1012.166667,1009.725,1012.225,1007.575,1012.854167,1013.833333,1015.083333,1013.729167,1007.116667,1003.833333,1005.2375,986.625
2012-01-13,1012.895833,1017.95,1020.583333,1013.054167,,1010.208333,1017.270833,,1010,1008.783333,1000.583333,1018.6875,,896.833333,,898.083333,882.666667,887.958333,,989.508333,1005.620833,,,,,1008.945833,,1013.333333,999,,1000.166667,1006.916667,1012.166667,1013.208333,1019.636364,,1012.833333,973.708333,939.983333,1013,1011.9625,,1014.666667,998.041667,1015.795833,944,1023.416667,996.625,965.75,991,989.875,1022.108333,1023.916667,937.554167,,,,,917.079167,973.875,964.533333,983.458333,910.5125,1001.4,,,1022.116667,1015.708333,1012.620833,1015.5625,1010.679167,1015.841667,1017.333333,1018.458333,1017.341667,1010.5625,1007.25,1008.85,989.666667
2012-01-14,1011.004167,1015.95,1020.958333,1011.675,,1008.958333,1015.841667,,1008.575,1007.283333,998.625,1017.345833,,894.583333,,895.958333,880.416667,885.75,,988.345833,1003.795833,,,,,1008.129167,,1012.458333,997.875,,999.791667,1006.791667,1011.958333,1013.083333,1019.958333,,1013.041667,972.666667,938.283333,1011.504167,1010.5,,1015,998.541667,1014.016667,943.041667,1021.875,995.083333,965.208333,990.708333,988.25,1019.895833,1022.5,935.85,,,,,912.595833,972.791667,962.475,982.541667,908.954167,1002.7,,,1020.35,1013.833333,1012.5125,1015.6875,1010.516667,1015.975,1015.508333,1016.970833,1015.220833,1009.066667,1005.916667,1007.4125,989.958333
2012-01-15,1006.741667,1010.9625,1020.125,1007.995833,,1005.083333,1011.829167,,1004.795833,1003.6125,996.75,1014.508333,,886.541667,,887.666667,872.166667,877.458333,,984.795833,1000.458333,,,,,1004.108333,,1008.5,996.5,,998.833333,1005.875,1011.416667,1012.5,1019.391304,,1012.208333,970.5,933.420833,1008.0625,1007.116667,,1014.25,998.291667,1009.6125,941,1019.166667,992.166667,964,989.333333,987.333333,1016.2875,1019.291667,930.645833,,,,,908.483333,971.083333,954.716667,981.333333,904.416667,1001.841667,,,1017.004167,1010.541667,1011.129167,1014.6375,1009.279167,1014.795833,1012.120833,1013.570833,1010.679167,1006.058333,1002.333333,1003.791667,988.541667
2012-01-16,1013.970833,1018.683333,1024.708333,1014.1875,,1011.208333,1018.35,,1011.0625,1009.745833,1001.25,1014.3375,,886.5,,887.416667,872.25,877.666667,,990.7375,1006.5125,,,,,1010.520833,,1014.708333,997.25,,999.875,1007.166667,1012.375,1013.375,1020.708333,,1013.583333,971.625,934.291667,1014.133333,1012.958333,,1015.416667,999.541667,1015.791667,940.958333,1018.708333,991.333333,964.833333,990.208333,988.666667,1022.954167,1025.458333,931.129167,,,,,909.3125,972,955.429167,982.291667,904.120833,1003.558333,,,1023.720833,1017.041667,1014.845833,1015.9,1012.725,1016.5125,1018.458333,1019.945833,1018.404167,1011.120833,1007.958333,1009.629167,989.625
2012-01-17,1017.558333,1022.408333,1024.833333,1018.683333,,1015.833333,1022.904167,,1015.566667,1014.2375,1002.041667,1019.716667,,894.25,,895.5,880.375,885.375,,994.6875,1010.229167,,,,,1014.741667,,1018.958333,1001.166667,,1003.625,1011.125,1016.5,1017.458333,1024.714286,,1017.875,975.666667,939.1125,1018.683333,1017.508333,,1019.541667,1003.083333,1020.225,944.666667,1024.541667,997.125,968.125,994.208333,992.125,1026.791667,1028.458333,936.854167,,,,,915.2375,978.5,963.529167,985.791667,909.579167,1006.85,,,1027.795833,1020.75,1018.0625,1020.345833,1015.9625,1020.2875,1022.516667,1024.345833,1022.016667,1015.45,1012.291667,1013.345833,994.083333
2012-01-18,1017.0625,1021.795833,1019.26087,1018.291667,1012.0625,1015.125,1022.183333,,1014.908696,1013.8,998.375,1020.004167,,895.083333,,896.291667,880.541667,886.166667,,994.345833,1009.504167,,,,,1014.233333,,1018.583333,1001.083333,,1003.291667,1010.708333,1015.875,1016.875,1024,,1017.208333,975.166667,939.15,1017.711765,1016.9,,1018.833333,1002.25,1020.4,945.125,1024.666667,997.583333,968.291667,993.791667,991.583333,1026.858333,1027.291667,936.6375,,,,,915.754167,978.083333,963.425,985.416667,909.7875,1006.125,,,1027.0125,1020.583333,1017.779167,1019.783333,1015.670833,1019.679167,1022.191667,1023.566667,1021.908333,1015.079167,1012.181818,1013.225,993.416667
2012-01-19,1010.008333,1014.829167,1010.791667,1012.475,1008.120833,1009.541667,1016.2375,,1009.358333,1008.0125,990.208333,1014.120833,,888.875,,890,874.833333,879.958333,,988.5875,1004.008333,,,,,1008.420833,,1013.125,996.083333,,998.416667,1005.666667,1010.916667,1012.083333,1019.05,,1011.916667,970.333333,934.370833,1012.354167,1011.266667,,1013.791667,997.25,1013.4125,940.583333,1018.333333,991.541667,963.541667,988.75,986.958333,1019.558333,1022.625,931.583333,,,,,911.041667,970.75,956.945833,981.125,905.545833,1001.245833,,,1021.313636,1014.083333,1013.233333,1014.6125,1011.345833,1014.675,1016.175,1017.795833,1014.775,1009.458333,1006.333333,1007.395833,988.416667
2012-01-20,1002.9,1008.204545,1005.041667,1008.179167,1004.004167,1005.208333,1011.163636,,1005.466667,1004.0625,984.291667,1011.741667,,885.791667,,886.666667,871.5,877.208333,,985.295833,1001.725,,,,,1004.575,,1009.083333,995.75,,998.416667,1005.375,1010.875,1012.375,1018.772727,,1011.625,969.708333,932.229167,1007.45,1006.670833,,1013.625,997.666667,1006.404167,939.916667,1016.333333,989.583333,963.166667,988.291667,986.916667,1012.4,1016.25,929.091667,,,,,908.529167,970,953.933333,980.708333,903.55,1000.941667,,,1013.995833,1006.833333,1010.620833,1014.220833,1009.0625,1014.625,1010.225,1011.9625,1007.508333,1006.183333,1002.708333,1004.45,988
2012-01-21,1001.729167,1008.905,1009.541667,1006.570833,1001.629167,1003.75,1010.295833,,1003.729167,1002.4625,987.125,1009.85,,881.875,,882.5,867.5,872.958333,,983.779167,1000.2375,,,,,1003.175,,1007.416667,993.75,,996.916667,1003.333333,1009.166667,1010.75,1017.043478,,1010.2,968.166667,931.116667,1006.291667,1005.016667,,1011.791667,996.375,1006.229167,938.041667,1013.333333,986.916667,961.958333,986.708333,985.666667,1012.679167,1016.208333,927.508333,,,,,907.208333,967.458333,950.433333,979.25,901.7125,1000.116667,,,1014.345833,1007.583333,1009.620833,1004.733333,1008.354167,1013.170833,1009.7875,1011.1125,1006.629167,1004.2375,1001.25,1002.8,985.916667
2012-01-22,1007.629167,1012.029167,1010,1011.116667,1007.008333,1008.166667,1014.729167,,1008.345833,1007.0625,989.173913,1015.345833,,889.125,,890.5,875.041667,880.583333,,988.008333,1004.233333,,,,,1007.454167,,1011.916667,997.375,,999.958333,1007.041667,1012.75,1013.5,1020.458333,,1013.111111,971.916667,934.475,1011.004167,1009.741667,,1015.375,999.083333,1010.55,941.375,1019.958333,993.470588,964.791667,990.291667,988.625,1016.8,1020.125,932.275,,,,,910.5125,972.708333,957.966667,982.416667,905.55,1002.8125,,,1018.333333,1011.125,1012.5625,1016.2375,1010.791667,1016.6875,1013.9,1015.3875,1011.975,1008.395833,1005.625,1006.683333,989.833333
2012-01-23,1002.566667,1007.4,1011.333333,1004.683333,999.891667,1001.375,1008.120833,,1002.15,1000.3375,991.277778,1011.170833,,883.625,,885.291667,870.25,875.541667,,981.733333,997.620833,,,,,1001.020833,,1005.291667,992,,995,1002,1007.666667,1008.5,1015.913043,,1009.5,967.041667,929.995833,1004.404167,1003.170833,,1010.625,995.470588,1004.179167,937.416667,1015,988.375,960.5,985.666667,984.291667,1010.729167,1014.5,927.808333,,,,,906.008333,965.583333,952.295833,978,901.025,998.670833,,,1012.0125,1005.083333,1007.229167,1009.066667,1005.4,1011.795833,1007.520833,1008.8375,1006.566667,1002.345833,999.083333,999.458333,985.125
2012-01-24,1016.283333,1021.4625,1022.75,1017,1012.0625,1014.291667,1021.225,,1014.075,1012.725,1001.375,1016.225,,894.958333,,896.333333,881.416667,886.166667,,993.508333,1009.7875,,,,,1013.166667,,1017.541667,998.041667,,1000.791667,1007.166667,1012.791667,1013.875,1021,,1014.2,973.875,938.8375,1017.058333,1015.845833,,1015.375,,1019.1125,942.291667,1021.625,994.666667,965.625,990.5,989.708333,1025.020833,1027.25,935.033333,,,,,915.279167,973.375,962.758333,982.875,909.204167,1002.341667,,,1026.008333,1019.208333,1016.966667,1016.9125,1014.616667,1018.175,1021.116667,1022.4625,1020.7875,1014.058333,1011.083333,1014.925,990.791667
2012-01-25,1019.775,1025.191667,1026.5,1020.070833,1015.620833,1017.041667,1024.070833,,1016.9,1015.683333,1005.125,1019.054167,,898.5,,899.708333,884.625,889.708333,,996.229167,1012.4125,,,,,1015.954167,,1020.227273,1001.041667,,1002.916667,1008.708333,1014.375,1015.75,1021.565217,,1013.571429,975.916667,941.691667,1020.070833,1018.775,,1016.458333,999.333333,1022.629167,945.333333,1023.916667,996.916667,967.916667,992.125,992.416667,1028.895833,1029.833333,937.058333,,,,,918.1,977.416667,965.633333,985.833333,912.270833,1003.125,,,1029.4125,1022.291667,1018.779167,1018.120833,1015.954167,1019.3,1024.2875,1025.466667,1024.4,1017.445833,1013.916667,1014.995455,991.791667
2012-01-26,1016.0625,1020.929167,1025.583333,1016.295833,1011.62,1013.458333,1020.5875,,1013.091667,1011.775,1003.166667,1014.229167,,893.333333,,894.708333,879.291667,884.708333,,992.808333,1008.958333,,,,,1012.583333,,1017.083333,998.166667,,999.875,1005.333333,1011.25,1012.125,1018.217391,,1010.307692,972.291667,937.258333,1016.179167,1014.9375,,1013.125,997.833333,1018.808333,942.75,1019.25,992.25,964.625,988.666667,988.041667,1024.941667,1026.541667,932.170833,,,,,914.125,972.875,960.1,982.208333,907.970833,1000.225,,,1025.25,1018.541667,1015.6125,1012.675,1012.904167,1015.9625,1020.633333,1021.575,1020.0625,1014.120833,1010.333333,1012.008333,987.958333
